2024-04-13 16:23:03.293 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-04-13 16:23:03.300 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-13 16:23:03.301 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-13 16:23:03.301 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2024-04-13 16:23:03.338 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-13 16:23:03.339 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 702 ms
2024-04-13 16:23:03.355 [restartedMain] INFO  o.s.boot.web.servlet.RegistrationBean - Filter characterEncodingFilter was not registered (possibly already registered?)
2024-04-13 16:23:03.420 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2024-04-13 16:23:03.425 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-04-13 16:23:03.467 [restartedMain] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-04-13 16:26:34.946 [restartedMain] INFO  com.zyc.MicroBootApplication - Starting MicroBootApplication using Java 17.0.10 with PID 12920 (D:\Item\microboot\microboot\microboot-web\build\classes\java\main started by 12611 in D:\Item\microboot\microboot\microboot-web)
2024-04-13 16:26:34.947 [restartedMain] INFO  com.zyc.MicroBootApplication - The following 1 profile is active: "dev"
2024-04-13 16:26:34.978 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-13 16:26:34.978 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-13 16:26:35.659 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-04-13 16:26:35.666 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-13 16:26:35.667 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-13 16:26:35.667 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2024-04-13 16:26:35.704 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-13 16:26:35.705 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 727 ms
2024-04-13 16:26:35.721 [restartedMain] INFO  o.s.boot.web.servlet.RegistrationBean - Filter characterEncodingFilter was not registered (possibly already registered?)
2024-04-13 16:26:35.792 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2024-04-13 16:26:35.794 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-04-13 16:26:35.847 [restartedMain] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-04-13 16:29:15.039 [restartedMain] INFO  com.zyc.MicroBootApplication - Starting MicroBootApplication using Java 17.0.10 with PID 11596 (D:\Item\microboot\microboot\microboot-web\build\classes\java\main started by 12611 in D:\Item\microboot\microboot\microboot-web)
2024-04-13 16:29:15.041 [restartedMain] INFO  com.zyc.MicroBootApplication - The following 1 profile is active: "dev"
